City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,devonport,-41.1667,146.35,9.45,6.96,85,4.69,AU,1687788511
1,mogocha,53.7333,119.7667,16.74,16.74,100,1.51,RU,1687788595
2,ormara,25.2088,64.6357,29.51,29.51,55,6.56,PK,1687788596
3,el galpon,-25.3807,-64.6526,23.64,23.64,0,1.34,AR,1687788597
4,tiksi,71.6872,128.8694,10.26,10.26,92,2.81,RU,1687788598
5,tazovsky,67.4667,78.7,11.27,11.27,15,0.99,RU,1687788599
6,namtsy,62.7161,129.6658,19.78,19.78,39,2.25,RU,1687788600
7,broome,42.2506,-75.833,25.1,22.52,0,5.14,US,1687788600
8,trinidad,-14.8333,-64.9,27.52,27.52,69,1.9,BO,1687788601
9,bethel,41.3712,-73.414,24.56,20.17,100,3.6,US,1687788602
10,mangai,-4.05,19.5333,30.82,30.82,97,0.59,CD,1687788604
11,puerto natales,-51.7236,-72.4875,-0.75,-0.75,75,2.57,CL,1687788605
12,papatowai,-46.5619,169.4708,9.02,9.02,100,1.12,NZ,1687788605
13,taoudenni,22.6783,-3.9836,44.76,44.76,0,2.3,ML,1687788606
14,inirida,3.8653,-67.9239,27.76,27.76,93,0.21,CO,1687788607
15,hawaiian paradise park,19.5933,-154.9731,21.05,19.85,40,3.09,US,1687788608
16,vilyuysk,63.7553,121.6247,17.54,17.54,100,2.67,RU,1687788609
17,trairi,-3.2778,-39.2689,29.84,29.84,19,6.24,BR,1687788610
18,petropavlovsk-kamchatsky,53.0452,158.6483,10.99,10.99,49,0.6,RU,1687788610
19,cabo san lucas,22.8909,-109.9124,26.95,23.99,4,1.34,MX,1687788611
20,port-aux-francais,-49.35,70.2167,3.45,3.45,99,11.78,TF,1687788388
21,lewistown,40.5992,-77.5714,25.52,21.2,0,0.0,US,1687788613
22,ardakan,32.31,54.0175,36.75,36.75,0,8.26,IR,1687788614
23,greymouth,-42.4667,171.2,10.3,10.3,94,1.78,NZ,1687788615
24,whitehorse,60.7161,-135.0538,10.17,7.79,47,3.58,CA,1687788616
25,maridi,4.9158,29.4742,25.44,25.44,81,0.71,SS,1687788616
26,kani keli,-12.9536,45.1033,28.59,28.59,11,6.33,YT,1687788617
27,cartagena,10.3997,-75.5144,26.0,26.0,100,3.62,CO,1687788618
28,san antonio de pale,-1.4014,5.6325,25.18,25.18,89,2.99,GQ,1687788619
29,dawson creek,55.7666,-120.2362,15.67,15.67,89,1.32,CA,1687788620
30,albany,42.6001,-73.9662,25.35,21.97,99,1.34,US,1687788621
31,dongkan,33.9997,119.8308,23.59,23.59,7,1.76,CN,1687788621
32,ha tinh,18.3333,105.9,26.32,26.32,100,0.87,VN,1687788358
33,ushuaia,-54.8,-68.3,0.81,-0.21,98,6.17,AR,1687788623
34,kavaratti,10.5669,72.642,28.52,28.52,100,6.22,IN,1687788624
35,mount isa,-20.7333,139.5,14.87,14.87,18,0.0,AU,1687788625
36,severo-yeniseyskiy,60.3725,93.0408,7.95,7.95,100,1.49,RU,1687788625
37,viedma,-40.8135,-62.9967,12.36,12.36,1,7.97,AR,1687788626
38,berezovyy,51.6667,135.7,17.04,17.04,4,1.15,RU,1687788627
39,abra pampa,-22.7205,-65.697,10.48,10.48,0,1.3,AR,1687788628
40,launceston,-41.45,147.1667,7.67,3.8,61,4.12,AU,1687788626
41,waitangi,-43.9535,-176.5597,11.57,11.57,11,6.26,NZ,1687788630
42,afaahiti,-17.75,-149.2833,25.93,25.59,22,7.85,PF,1687788632
43,carnarvon,-24.8667,113.6333,15.43,15.43,2,10.27,AU,1687788632
44,baharly,38.4362,57.4316,34.77,34.77,0,2.72,TM,1687788633
45,thompson,55.7435,-97.8558,14.67,14.67,6,1.57,CA,1687788634
46,adamstown,-25.066,-130.1015,22.58,22.58,2,4.58,PN,1687788635
47,puerto ayora,-0.7393,-90.3518,26.98,25.31,98,3.13,EC,1687788636
48,lanxi,29.2195,119.477,24.82,24.82,100,0.95,CN,1687788637
49,jamestown,42.097,-79.2353,20.77,18.73,100,3.6,US,1687788637
50,vorkuta,67.5,64.0,14.26,14.26,100,3.75,RU,1687788638
51,sinabang,2.4803,96.3801,26.7,26.7,36,0.76,ID,1687788639
52,taber,49.8167,-112.1518,17.0,16.01,8,0.51,CA,1687788640
53,enewetak,11.3474,162.3373,28.18,28.18,100,8.5,MH,1687788640
54,tibati,6.4667,12.6333,22.11,22.11,100,2.07,CM,1687788641
55,nahiyat ash shinafiyah,31.5874,44.6602,43.38,43.38,0,10.0,IQ,1687788642
56,blackmans bay,-43.0167,147.3167,8.62,8.07,93,3.18,AU,1687788643
57,badger,64.8,-147.5333,14.17,11.32,40,0.0,US,1687788644
58,krokek,58.6667,16.4,24.81,22.06,0,6.17,SE,1687788645
59,fisterra,42.9049,-9.2629,20.97,20.97,6,10.69,ES,1687788645
60,xilin hot,43.9667,116.0333,19.86,19.86,100,4.27,CN,1687788646
61,celestun,20.8667,-90.4,27.51,27.51,3,2.83,MX,1687788647
62,san pedro pochutla,15.7333,-96.4667,25.95,25.84,100,1.44,MX,1687788648
63,kununurra,-15.7667,128.7333,24.99,24.99,100,0.0,AU,1687788649
64,ilulissat,69.2167,-51.1,6.01,6.01,40,2.57,GL,1687788649
65,tokar,18.4254,37.729,39.86,39.86,6,6.27,SD,1687788650
66,mejit,10.2753,170.8646,28.11,28.11,99,9.84,MH,1687788651
67,grytviken,-54.2811,-36.5092,0.09,0.09,73,8.86,GS,1687788652
68,axim,4.8699,-2.2405,26.07,26.07,64,4.21,GH,1687788653
69,leo,11.1,-2.1,29.35,29.35,90,3.49,BF,1687788653
70,bikenibeu village,1.3673,173.1241,26.98,26.98,75,2.06,KI,1687788654
